schoolyear,districtcode,districtname,schoolcode,schoolname,SchoolAddress,SchoolCity,Zip,fallenrollment,additionalenrollment,transfers,mobility rate
2014,024086,KEARNEY R-I,1050,KEARNEY HIGH,715 E 19TH ST,KEARNEY,640608453,871,3,55,6.2929
2014,024086,KEARNEY R-I,2050,KEARNEY JR. HIGH,2215 S CAMPUS ST,KEARNEY,640608799,612,2,49,7.9805
2014,024086,KEARNEY R-I,3000,KEARNEY MIDDLE,200 E 5TH ST,KEARNEY,640608343,599,5,64,10.596
2014,024086,KEARNEY R-I,4040,KEARNEY ELEM.,902 S JEFFERSON,KEARNEY,640608518,287,7,66,22.449
2014,024086,KEARNEY R-I,4060,HAWTHORNE ELEM.,1815 S JEFFERSON,KEARNEY,640608481,280,7,35,12.1951
2014,024086,KEARNEY R-I,4080,SOUTHVIEW ELEM.,7 S CAMPUS DR,KEARNEY,640609403,452,12,57,12.2845
2014,024086,KEARNEY R-I,5020,DOGWOOD ELEM.,1400 CEDAR WOOD PKWY,KEARNEY,640608866,457,2,55,11.9826
2014,024087,SMITHVILLE R-II,1050,SMITHVILLE HIGH,645 S COMMERCIAL AVE,SMITHVILLE,640899352,815,8,74,8.9915
2014,024087,SMITHVILLE R-II,3000,SMITHVILLE MIDDLE,675 S COMMERCIAL AVE,SMITHVILLE,640899305,590,9,70,11.6861
2014,024087,SMITHVILLE R-II,4020,SMITHVILLE ELEM.,600 MAPLE ST,SMITHVILLE,640898238,566,9,74,12.8696
2014,024087,SMITHVILLE R-II,4040,SMITHVILLE UPPER ELEM.,695 S COMMERCIAL AVE,SMITHVILLE,640899357,553,13,62,10.9541
2014,024089,EXCELSIOR SPRINGS 40,1075,EXCELSIOR SPRINGS HIGH,612 TIGER DR,EXCELSIOR SPRINGS,640240248,804,19,168,20.4131
2014,024089,EXCELSIOR SPRINGS 40,1080,EXCELSIOR SPRINGS TECH. HIGH,701 ST LOUIS AVE,EXCELSIOR SPRINGS,640240248,124,107,281,121.645
2014,024089,EXCELSIOR SPRINGS 40,3000,EXCELSIOR SPRINGS MIDDLE,701 CROWN HILL RD,EXCELSIOR SPRINGS,640240248,638,15,112,17.1516
2014,024089,EXCELSIOR SPRINGS 40,4020,ELKHORN ELEMENTARY,34684 HWY 10,EXCELSIOR SPRINGS,640240248,218,5,60,26.9058
2014,024089,EXCELSIOR SPRINGS 40,4040,LEWIS ELEMENTARY,501 LEAVENWORTH,EXCELSIOR SPRINGS,640240248,593,14,173,28.5008
2014,024089,EXCELSIOR SPRINGS 40,4080,WESTVIEW ELEMENTARY,500 N JESSE JAMES,EXCELSIOR SPRINGS,640240248,525,6,139,26.177
2014,024090,LIBERTY 53,1050,LIBERTY HIGH,200 BLUEJAY DR,LIBERTY,640681986,1785,38,315,17.2792
2014,024090,LIBERTY 53,1070,LIBERTY NORTH HIGH SCHOOL,1000 N.E. 104TH STREET,LIBERTY,640687958,1438,18,275,18.8874
2014,024090,LIBERTY 53,3050,LIBERTY MIDDLE SCHOOL,1500 S WITHERS,LIBERTY,640684600,680,11,98,14.1823
2014,024090,LIBERTY 53,3070,SOUTH VALLEY MIDDLE,1000 MIDJAY DR,LIBERTY,640682996,612,3,79,12.8455
2014,024090,LIBERTY 53,3080,DISCOVERY MIDDLE SCHOOL,800 MIDJAY DRIVE,LIBERTY,640683162,611,6,60,9.7245
2014,024090,LIBERTY 53,3090,HERITAGE MIDDLE SCHOOL,600 W KANSAS,LIBERTY,640682127,709,12,116,16.0888
2014,024090,LIBERTY 53,4020,ALEXANDER DONIPHAN ELEM.,1900 CLAY DR,LIBERTY,640683244,385,8,75,19.084
2014,024090,LIBERTY 53,4040,FRANKLIN ELEM.,201 W MILL,LIBERTY,640682339,337,2,75,22.1239
2014,024090,LIBERTY 53,4060,LEWIS AND CLARK ELEM.,1407 NASHUA RD,LIBERTY,640683368,589,13,94,15.6146
2014,024090,LIBERTY 53,4080,MANOR HILL ELEM.,1400 SKYLINE DR,LIBERTY,640682751,421,11,91,21.0648
2014,024090,LIBERTY 53,4100,RIDGEVIEW ELEM.,701 THORNTON,LIBERTY,640682172,470,16,140,28.8066
2014,024090,LIBERTY 53,4120,LILLIAN SCHUMACHER ELEM.,425 CLAYWOODS PKWY,LIBERTY,640684358,655,15,152,22.6866
2014,024090,LIBERTY 53,4140,SHOAL CREEK ELEM.,9000 NE FLINTLOCK RD,KANSAS CITY,641571114,856,7,112,12.978
2014,024090,LIBERTY 53,4160,LIBERTY OAKS ELEM.,8150 N FARLEY AVE,KANSAS CITY,641587621,589,4,109,18.3811
2014,024090,LIBERTY 53,4180,WARREN HILLS ELEM.,1251 CAMILLE ST,LIBERTY,640689143,721,5,99,13.6364
2014,024090,LIBERTY 53,4200,KELLYBROOK ELEM SCHOOL,10701 N EASTERN AVENUE,KANSAS CITY,641578639,700,10,103,14.507
2014,024090,LIBERTY 53,7500,EARLY CHILD. EDUCATION CTR.,9600 NE 79TH ST,KANSAS CITY,641581116,264,NULL,NULL,0
2014,024091,MISSOURI CITY 56,4020,MISSOURI CITY ELEM.,700 E MAIN,MISSOURI CITY,640720259,21,NULL,8,38.0952
2014,024093,NORTH KANSAS CITY 74,1050,NORTH KANSAS CITY HIGH,620 E 23RD AVE,KANSAS CITY,641163076,1505,57,357,22.8553
